Building Type,Square Footage,Number of Occupants,Appliances Used,Average Temperature,Day of Week,Energy Consumption
0,4633,98,2,15.1,0,2726.13
2,47304,98,11,12.3,0,6053.68
1,36562,99,11,30.78,1,4884.18
2,19350,38,13,28.33,1,3965.87
0,1739,61,26,30.51,0,2614.4
0,32390,84,15,27.44,0,4172.29
2,45504,24,32,24.99,0,5580.25
0,48790,58,38,28.79,0,5185.54
0,37834,12,10,32.88,1,3547.29
0,23650,82,29,20.36,0,4030.72
0,46058,88,33,11.53,0,5335.23
1,9211,33,28,10.16,1,3299.75
2,21672,7,34,28.05,0,4243.36
2,39943,74,5,31.83,0,5228.01
1,1456,74,38,15.66,1,3494.52
1,20559,21,8,26.77,0,3314.12
0,42960,78,33,19.33,0,5041.34
0,42063,77,9,17.72,1,4464.55
0,49488,99,41,17.6,0,5746.4
1,41657,76,38,32.07,0,5492.51
0,2024,25,4,28.84,1,1787.0
2,10268,35,20,33.18,0,3647.48
2,11224,25,49,15.38,1,4214.3
1,40192,23,23,30.0,1,4549.59
2,25791,84,45,14.96,1,5454.74
0,22292,25,43,24.55,1,3601.83
2,1114,14,40,12.59,1,3432.74
2,42707,4,44,16.78,1,5471.43
1,23540,80,10,15.5,0,4149.49
1,16938,36,13,15.51,0,3439.34
0,17934,70,44,27.56,0,3888.89
2,37719,16,20,23.97,0,4876.08
2,4533,20,46,12.33,0,3835.0
1,34061,43,14,31.26,0,4306.74
0,47555,34,29,24.16,0,4726.97
0,34572,14,1,12.8,1,3324.61
0,29552,42,38,25.04,0,4082.39
1,9874,5,19,20.65,0,2870.44
2,19597,89,6,23.69,1,4371.38
1,44665,36,2,13.93,1,4563.58
0,18811,19,25,14.33,0,3108.88
0,5795,17,42,33.72,1,2631.16
1,29035,5,34,19.77,0,4132.91
1,29365,18,24,12.93,1,4063.62
1,2606,30,2,29.63,0,2372.16
1,1322,81,2,15.38,1,2839.18
0,20644,29,7,21.54,0,2904.51
1,38506,82,26,17.62,1,5177.22
0,18524,78,4,33.5,0,3168.71
2,35122,56,41,34.55,0,5513.36
2,20549,68,4,24.59,1,4164.5
1,21439,24,42,15.79,1,4073.01
2,38073,87,22,34.18,1,5542.74
1,27205,44,14,11.38,1,4023.35
0,33475,82,13,32.62,1,4090.65
0,10347,94,8,17.91,1,3027.78
1,10896,71,17,16.99,1,3509.87
2,32909,47,29,33.37,1,5028.58
0,36340,42,15,31.27,1,3880.66
0,30129,29,33,23.73,1,3837.78
2,16869,10,13,20.89,1,3598.99
0,20603,98,36,29.52,1,4082.56
2,34580,47,13,25.41,1,4831.96
1,30527,70,20,11.89,0,4616.89
1,22236,65,5,34.67,1,3688.46
2,9282,17,6,29.31,0,3157.54
2,4297,7,32,15.67,0,3396.51
0,49345,22,18,11.87,0,4537.9
2,28645,32,43,12.86,0,5097.96
1,46148,5,20,29.6,0,4659.4
1,29757,3,6,11.91,1,3578.29
1,32765,26,9,10.52,0,4075.67
2,24558,80,8,24.3,1,4566.41
1,12842,60,39,25.63,1,3893.95
2,40464,89,17,34.04,0,5633.01
0,43820,3,36,22.96,0,4376.22
2,1025,28,48,24.41,0,3719.19
1,33357,92,43,23.58,1,5329.97
1,24357,6,29,21.36,1,3751.05
2,46460,3,18,25.95,1,5083.26
1,39504,86,46,12.07,0,5744.86
0,24010,87,36,19.67,0,4242.17
1,49287,60,42,18.31,0,5862.82
0,41260,35,38,29.66,1,4524.71
1,40983,66,47,12.96,0,5634.35
0,32847,34,35,19.28,1,4085.95
1,28029,38,15,18.72,1,3987.84
0,46740,19,25,10.29,1,4475.56
2,39724,44,38,14.79,0,5662.27
2,33797,86,13,13.96,0,5290.06
1,45238,72,47,20.95,0,5867.13
1,5584,21,9,29.51,1,2521.63
1,46697,70,7,25.71,0,5096.3
0,47804,99,38,31.79,1,5481.27
0,23696,85,29,11.31,1,4058.25
1,46219,49,41,29.52,1,5473.33
2,42273,99,36,21.27,1,6217.3
2,48017,1,8,32.46,0,4958.57
2,16396,79,49,10.39,1,5037.86
2,39841,47,7,25.25,0,5025.81
0,21109,78,36,10.33,1,4003.79
1,4518,85,27,15.09,1,3540.45
0,25838,75,27,24.06,0,4011.58
0,36423,89,29,18.3,0,4749.64
2,27223,86,44,30.86,1,5446.83
2,31963,69,5,10.24,0,4886.94
1,41860,28,34,23.64,1,4934.8
1,47100,5,1,10.13,1,4374.33
1,5148,72,18,26.98,1,3202.5
2,23519,55,45,14.99,0,5101.01
0,1620,72,23,20.14,1,2660.28
0,2579,32,49,12.3,1,2867.44
2,42374,36,28,29.67,1,5390.35
0,42740,60,22,15.42,0,4649.88
2,43908,1,28,19.15,0,5219.66
0,40787,35,4,13.99,0,3949.4
0,39530,59,25,23.69,0,4498.07
0,10895,18,26,34.47,0,2622.38
1,33562,61,41,34.63,1,4934.94
0,26321,89,43,13.9,1,4496.55
1,41901,23,26,33.56,1,4677.23
1,13213,79,30,26.73,1,3916.99
0,22230,16,25,29.13,1,3125.85
0,29102,31,41,32.35,0,3973.35
0,29692,13,45,26.11,1,3884.07
0,48979,61,1,24.54,0,4506.27
1,36955,71,27,28.08,1,4957.36
0,13724,13,4,20.76,0,2342.38
1,39209,67,24,21.48,1,5003.05
2,34677,55,29,18.34,1,5272.15
0,29509,64,47,14.73,1,4481.81
0,47233,66,8,10.16,0,4680.87
0,38500,42,49,25.31,1,4698.47
1,19756,61,47,33.38,1,4370.89
0,31159,35,42,17.84,0,4208.74
1,17675,48,36,19.41,0,4036.68
1,20123,13,19,24.92,0,3441.55
0,25361,77,26,24.09,1,3937.59
0,49256,82,35,30.7,1,5329.29
0,35339,85,27,32.39,1,4494.99
1,12153,75,23,16.83,1,3733.52
2,39698,85,36,17.99,0,6014.94
2,18833,30,25,22.66,0,4178.36
0,21081,5,25,26.29,1,2972.61
2,15061,43,21,26.86,0,4018.77
2,41631,13,6,29.32,1,4684.93
2,19529,85,19,28.85,0,4612.22
0,33539,21,15,28.71,0,3593.42
0,28196,74,19,24.55,1,3907.03
1,3420,61,49,12.65,1,3697.77
1,2982,15,13,11.71,1,2500.56
1,18881,54,6,19.05,0,3558.78
1,32623,65,29,27.67,0,4772.8
1,47214,48,20,22.94,1,5126.0
1,27237,39,41,15.33,1,4495.21
1,27288,32,42,11.26,0,4518.12
0,30257,72,10,33.34,0,3816.15
1,49653,89,37,26.33,1,5980.98
2,26349,88,46,10.79,1,5563.48
0,37629,17,14,21.58,1,3723.56
1,41696,98,43,33.1,0,5809.3
2,14098,16,45,19.1,1,4169.39
1,37435,26,35,21.64,0,4773.54
1,8470,50,46,26.35,0,3761.75
0,25019,19,35,28.29,0,3549.48
2,16501,63,45,10.2,0,4854.04
0,13909,62,21,18.76,1,3141.67
0,802,17,40,20.5,0,2457.6
2,18523,79,45,22.39,0,5054.19
2,10003,3,47,10.74,1,3916.46
2,32684,99,38,34.99,1,5709.26
2,46039,41,36,31.89,0,5822.52
1,22063,92,8,33.62,1,4015.07
1,20008,99,41,11.55,1,4752.66
1,20433,78,30,29.41,1,4254.59
2,40474,82,6,21.1,1,5358.22
1,42787,40,48,23.38,1,5382.43
0,35696,70,47,10.4,0,4922.82
2,20837,1,13,26.45,0,3729.59
0,43259,33,41,30.12,0,4712.33
0,14112,3,17,21.0,1,2470.59
2,26022,24,21,29.31,1,4314.56
1,26119,34,27,29.2,1,4039.93
0,40248,68,20,30.71,0,4488.84
1,24395,60,5,15.03,1,3844.62
2,13880,28,19,24.15,1,3733.24
0,39163,12,44,10.73,0,4454.51
1,4472,15,34,21.32,0,2996.99
2,20316,69,29,11.85,0,4776.54
0,38067,14,23,26.61,1,3870.32
1,7138,60,27,34.94,0,3372.2
1,25417,49,49,22.92,0,4676.25
1,7040,4,20,22.82,0,2727.89
2,7679,58,32,28.94,0,4009.27
2,5257,74,12,12.58,1,3679.96
2,6868,36,6,14.81,1,3249.36
1,18940,44,33,23.53,0,3979.37
2,22427,8,13,26.21,0,3880.32
1,36744,71,40,30.41,1,5195.15
1,35411,67,23,30.46,0,4798.25
0,43701,7,12,18.49,0,3952.58
0,44827,94,34,27.86,0,5272.05
0,18405,38,24,19.24,0,3234.06
1,15523,52,1,27.67,1,3177.82
1,46000,39,41,33.57,1,5342.17
2,3520,59,13,21.37,1,3419.14
0,29926,32,43,27.22,0,4090.2
0,15359,36,13,19.89,1,2788.49
1,39782,84,26,16.19,1,5268.16
0,6871,26,19,33.73,0,2364.9
0,29234,39,17,34.43,1,3519.56
2,28435,9,22,21.98,0,4391.84
1,38373,1,27,20.26,0,4417.34
2,16208,73,40,15.37,1,4763.57
2,13781,99,29,12.46,1,4696.73
2,14635,19,27,12.28,1,3900.33
2,26463,57,21,31.59,1,4655.22
2,37938,98,17,11.14,0,5711.22
1,35546,52,4,26.35,1,4245.53
2,11289,11,26,18.42,1,3602.33
1,48788,53,11,31.31,1,5032.83
0,5945,16,23,34.38,0,2295.33
0,38109,62,39,15.16,1,4729.67
0,17225,6,9,30.23,0,2500.08
1,49270,28,38,23.08,0,5438.11
0,43020,32,34,11.75,0,4642.27
0,49638,29,15,20.88,0,4517.48
1,27130,7,34,14.73,1,4032.83
1,11583,48,17,23.29,0,3332.69
0,46663,15,28,11.5,0,4535.64
2,1779,84,14,31.84,0,3599.73
2,18588,7,17,19.39,0,3792.47
1,22680,62,21,16.37,1,4092.14
1,37698,4,21,11.07,0,4339.55
1,37648,60,18,21.25,1,4736.14
2,27990,85,31,23.93,1,5249.84
2,49768,51,22,34.91,1,5763.85
0,22227,56,49,12.86,1,4087.05
0,15898,83,20,29.5,1,3377.38
0,8406,25,36,19.48,0,2842.91
2,23779,92,6,18.96,0,4684.16
2,2550,97,45,34.58,0,4374.59
2,47719,92,7,32.82,1,5781.83
1,36112,17,42,28.54,0,4722.9
2,20456,50,6,33.53,1,3975.14
2,46265,68,38,18.13,0,6212.59
0,46526,14,20,27.93,0,4276.66
0,2262,36,49,16.09,1,2872.63
2,10681,71,47,19.75,0,4635.28
0,49438,93,17,13.31,0,5225.35
1,1935,96,28,30.73,1,3463.09
1,12036,61,47,26.75,1,4018.05
0,12612,65,5,28.73,0,2786.93
0,28288,52,19,31.72,1,3655.82
1,12055,52,28,19.62,0,3634.65
2,38758,7,41,10.05,0,5327.65
2,32380,1,21,19.77,0,4500.16
0,26392,13,9,12.69,1,3066.15
2,47956,8,22,34.4,1,5245.78
1,45580,26,1,29.63,0,4460.84
0,6276,75,36,33.11,1,3118.23
1,36340,33,20,16.2,0,4516.02
2,49270,19,39,11.26,1,5877.19
1,31790,46,31,27.09,1,4534.07
2,33820,56,8,21.32,0,4854.4
0,3073,33,17,17.03,0,2288.52
0,38743,65,23,10.2,0,4546.15
0,14494,2,9,32.68,0,2311.29
1,12418,73,13,17.02,1,3525.79
1,10024,54,40,10.49,0,3838.73
0,24070,2,49,24.59,1,3580.56
0,47690,39,11,33.49,0,4377.04
2,17014,91,8,26.94,0,4336.02
2,26515,45,25,33.47,0,4658.38
2,14359,69,40,19.94,0,4658.27
0,9320,40,44,21.16,1,3140.2
1,26517,64,29,15.46,1,4468.57
2,34223,98,6,29.74,0,5212.46
1,39025,86,10,22.42,0,4949.14
0,5203,86,14,20.59,1,2797.21
1,29986,93,9,19.04,1,4514.09
1,25650,21,28,25.14,0,3976.81
0,26623,37,11,23.25,1,3304.91
2,47117,83,45,11.05,1,6530.6
2,21616,26,48,32.4,0,4688.81
0,32360,40,13,29.55,1,3630.24
0,11925,76,9,23.05,1,2921.01
0,34162,48,26,33.54,0,4090.41
1,2469,92,41,13.26,1,3797.14
0,7222,44,39,34.91,1,2906.57
0,30720,3,15,10.22,1,3314.91
0,28673,31,15,11.19,1,3487.69
1,16809,49,26,16.35,0,3818.71
1,33281,6,26,17.8,0,4205.07
2,25438,21,16,23.73,0,4233.24
0,48138,85,22,19.9,0,5147.4
2,36446,92,43,16.56,0,6069.51
0,48408,2,15,27.49,1,4102.94
2,28970,23,49,21.63,1,5050.37
0,45133,39,39,13.3,0,4910.15
2,31311,60,27,17.31,0,5168.99
0,45528,32,32,28.7,1,4592.9
2,30475,92,3,13.61,1,4935.7
1,32919,92,8,27.03,0,4640.78
2,32205,21,17,15.18,0,4634.34
1,41100,8,49,20.38,0,5063.09
1,25503,95,9,17.83,0,4366.0
0,36685,63,12,22.54,1,4091.56
0,8313,4,43,23.99,0,2745.7
2,12675,2,47,11.93,1,4034.11
1,16871,93,38,33.96,0,4413.74
1,2639,21,25,22.54,0,2779.25
2,47795,9,15,34.61,0,5156.72
1,10150,31,15,33.79,0,2998.57
2,3541,80,7,29.86,1,3467.74
1,27160,10,19,21.96,0,3778.19
2,26655,70,48,17.14,1,5407.04
1,41624,87,20,32.78,0,5237.3
2,23616,86,33,18.76,1,5107.0
2,48864,68,11,29.85,1,5693.96
0,11883,54,48,14.77,0,3570.31
1,24527,30,11,18.62,1,3653.25
1,37811,25,22,19.14,0,4534.85
0,20041,80,49,22.83,0,4217.88
0,9610,66,1,20.77,1,2556.63
2,42346,20,37,33.31,1,5390.76
1,15548,98,45,18.19,0,4616.46
2,11882,17,2,31.5,1,3146.62
0,38658,55,45,23.86,0,4813.61
1,3219,27,13,17.65,1,2602.69
2,37266,88,31,21.87,1,5753.93
2,37301,38,35,20.22,0,5393.95
0,23893,18,37,31.43,0,3507.49
2,49981,2,18,27.43,1,5241.89
0,14075,72,27,15.1,1,3388.25
2,43323,15,4,33.67,1,4727.81
0,27116,51,16,22.81,1,3571.76
2,45584,52,11,20.78,1,5415.31
1,16350,14,38,18.39,0,3675.54
0,32383,88,47,28.41,0,4847.12
2,10677,97,12,14.15,1,4173.1
0,6204,63,35,17.94,0,3100.51
1,46667,39,1,30.88,0,4638.97
1,24363,10,35,25.87,0,3938.82
1,35201,67,9,21.08,1,4504.67
2,23034,29,14,33.52,0,4104.1
1,781,4,34,22.51,0,2696.49
0,31023,97,23,20.52,1,4378.55
2,32466,29,26,15.49,0,4905.84
0,18809,12,27,29.52,0,3002.83
0,18264,49,34,22.35,1,3471.43
1,25360,34,26,14.98,0,4103.09
1,15163,11,40,11.06,1,3612.86
0,33481,90,26,23.91,0,4524.49
1,44741,78,12,32.66,0,5143.73
2,2698,22,37,19.58,1,3496.99
0,45069,37,17,20.4,1,4361.43
1,37179,82,22,14.12,1,5048.34
2,46663,55,1,22.99,0,5338.19
0,42344,5,30,32.29,0,4155.74
1,33687,90,14,13.13,1,4798.68
1,30948,96,37,20.06,1,5147.11
1,27338,37,49,33.14,0,4601.21
2,44986,5,41,29.42,1,5472.2
0,34875,63,24,33.71,0,4235.19
2,3749,11,4,21.49,1,2769.99
2,1119,11,29,19.96,0,3196.17
0,13176,2,47,11.58,1,3060.91
1,45423,22,2,16.32,1,4449.57
0,7505,70,41,19.04,0,3350.06
0,46903,30,3,27.65,0,4116.88
2,32784,10,11,19.06,1,4363.9
0,4925,30,36,18.33,0,2724.62
2,49151,45,45,15.8,1,6228.54
2,10826,21,28,17.38,1,3724.42
1,40559,32,38,30.26,1,4956.67
2,44564,58,21,26.4,0,5646.19
0,37614,11,12,14.63,1,3657.53
0,9446,43,47,20.27,0,3290.94
0,10722,79,40,25.83,1,3496.97
0,30045,42,5,31.62,1,3364.13
2,41735,5,39,15.27,1,5340.39
1,20346,3,1,28.49,1,2924.87
0,6395,10,32,22.76,0,2495.93
1,30587,70,36,15.27,1,4873.0
2,20522,88,42,31.58,1,5088.21
2,40387,31,37,20.24,0,5518.13
2,15751,9,13,29.07,0,3542.19
1,18158,46,3,21.1,0,3372.41
2,20194,60,45,22.82,1,4895.61
0,8304,98,46,18.82,0,3771.12
0,3724,16,10,26.17,1,1915.37
1,10382,63,31,13.89,1,3699.65
0,29930,63,6,24.99,1,3621.53
1,42399,58,35,13.49,1,5332.5
0,33630,96,32,32.11,1,4620.93
1,26931,31,11,25.59,0,3798.62
0,4314,43,17,31.12,1,2330.09
0,27185,92,8,13.46,0,3921.95
0,23999,7,37,13.91,0,3490.41
0,16835,19,7,33.47,0,2554.39
1,17587,72,4,14.08,0,3658.93
0,12439,20,33,13.16,0,2966.16
0,28132,49,9,20.74,0,3522.9
1,46889,54,28,17.07,1,5359.1
0,49401,60,13,18.44,0,4787.86
0,26059,16,19,28.69,0,3249.48
0,5306,73,42,31.2,0,3229.31
2,15652,17,3,20.72,1,3408.98
0,37880,72,28,16.73,0,4640.37
1,25553,96,25,30.45,0,4635.4
1,45741,21,33,28.63,0,5063.9
0,35701,19,17,29.9,1,3665.55
0,26789,57,4,16.0,0,3459.45
0,34749,42,46,33.41,1,4410.42
2,8570,9,45,26.94,0,3833.81
2,31773,60,19,26.02,0,4988.57
0,32654,74,48,29.06,1,4687.39
2,48417,86,23,18.9,1,6146.35
0,44960,10,35,29.67,0,4449.66
0,14047,50,46,29.34,0,3525.66
0,26712,60,42,20.2,0,4224.59
1,11872,66,37,28.67,0,3900.25
2,11622,93,4,25.21,1,3965.05
0,9577,90,49,17.05,1,3773.61
2,838,34,45,23.29,0,3715.45
1,10016,85,8,24.61,0,3437.74
0,13487,39,32,30.67,0,3101.02
0,15399,24,2,24.28,0,2478.55
1,16978,48,14,12.46,1,3546.62
1,11746,1,18,24.76,0,2883.5
0,32913,21,8,13.77,0,3496.82
2,49582,63,37,32.14,1,6188.4
2,48802,85,9,14.35,0,5948.34
1,42152,47,21,27.7,1,4859.08
1,31980,2,33,30.43,1,4126.84
2,22304,74,29,11.39,1,4878.26
0,49958,33,8,28.35,1,4346.16
1,5353,20,18,32.04,1,2667.44
2,44913,55,48,25.1,1,6130.17
1,27157,67,38,21.08,1,4682.44
1,15860,95,32,16.24,0,4351.81
2,9823,32,5,17.67,1,3322.79
0,47324,30,32,25.49,1,4678.75
0,48785,84,6,20.48,1,4796.83
1,16063,8,24,30.91,1,3208.59
1,10593,32,19,23.55,0,3161.9
2,37511,47,45,25.14,0,5669.86
1,32696,19,37,24.33,1,4443.15
1,25564,87,34,15.2,0,4802.21
0,36624,74,30,30.45,1,4518.97
1,38284,36,8,12.75,1,4370.44
1,28904,3,3,32.11,0,3424.66
1,9700,20,35,27.42,0,3297.91
2,26899,36,45,25.43,1,4977.79
2,1422,44,24,16.79,0,3457.17
1,39065,94,38,16.96,1,5568.44
1,2328,69,16,12.36,0,3114.61
0,27484,47,48,28.79,1,4160.27
0,20415,35,5,31.08,1,2815.34
1,33620,98,5,12.47,0,4748.66
2,18102,21,35,31.59,0,4207.14
2,9708,70,24,31.32,1,4008.78
0,16532,8,18,32.12,1,2605.98
2,34516,75,15,23.3,0,5209.3
1,36237,45,23,29.86,0,4622.54
0,31061,94,17,11.66,1,4274.73
1,20991,83,29,31.85,1,4300.28
1,21306,21,35,27.24,0,3889.08
1,3889,21,40,27.75,0,3115.68
0,11802,15,34,10.25,1,2868.84
0,7509,30,18,10.51,0,2532.88
1,39350,77,11,12.22,0,4946.38
0,44142,62,38,30.82,0,4983.0
1,29759,94,14,28.28,0,4616.56
2,21927,95,10,33.51,0,4628.8
0,47564,23,44,25.48,1,4860.8
2,7145,67,37,21.23,0,4211.11
0,17153,9,1,34.06,0,2347.37
1,12245,85,4,22.85,1,3428.02
2,42398,44,22,30.32,1,5348.31
1,8936,38,24,23.33,0,3240.14
1,21788,21,9,21.56,1,3371.6
1,20494,18,9,15.93,1,3305.06
2,20478,80,41,20.69,1,5040.46
0,2470,65,46,20.94,0,3138.81
0,1045,60,46,24.71,1,2948.69
2,29029,82,30,21.74,1,5262.76
1,5099,39,6,16.24,1,2683.73
1,36908,60,9,28.82,0,4531.32
2,30281,46,12,20.46,1,4611.73
0,48775,54,27,17.78,0,4979.87
2,48337,69,44,15.67,0,6458.51
2,34893,86,28,16.18,0,5633.76
1,5280,49,26,30.56,1,3121.19
0,15828,52,11,29.55,1,2883.63
0,26212,35,1,23.3,1,3064.11
0,14419,68,44,23.95,1,3661.21
2,12194,7,22,14.67,1,3546.34
1,39562,88,20,32.18,0,5147.21
0,8348,67,37,16.48,1,3244.98
1,15813,57,11,31.4,1,3423.63
